% variance explained,predictors,conditions,patient,chanels,nature
19.594271162400307,envelope,6m,p01,p01_T_3_4,real
19.070724829560252,envelope,6m,p01,p01_T_4_5,real
18.66436721012683,envelope,6m,p01,p01_T_5_6,real
14.24624945253474,envelope,6m,p01,p01_T_6_7,real
21.66269218374664,envelope,6m,p01,p01_T_7_8,real
4.4824897815379305,envelope,6m,p01,p01_TB_3_4,real
7.73910642787259,envelope,6m,p01,p01_TB_4_5,real
2.08574622967381,envelope,6m,p01,p01_TB_5_6,real
-0.00898663936490754,envelope,6m,p01,p01_TB_11_12,real
3.4780189493607496,envelope,6h,p01,p01_A_3_4,real
4.90042192369693,envelope,6h,p01,p01_A_4_5,real
9.02554040426356,envelope,6h,p01,p01_A_9_10,real
4.186555357863489,envelope,6h,p01,p01_A_10_11,real
-1.5234823504553499,envelope,6h,p01,p01_B_1_2,real
-0.46751165378105003,envelope,6h,p01,p01_B_2_3,real
-9.084830278082489,envelope,6h,p01,p01_B_3_4,real
-2.24937581639525,envelope,6h,p01,p01_B_4_5,real
-2.1520885017568,envelope,6h,p01,p01_B_5_6,real
14.89507076358046,envelope,6h,p01,p01_GPH_7_8,real
11.128234643595231,envelope,6h,p01,p01_H_2_3,real
5.94449136022627,envelope,6h,p01,p01_H_8_9,real
14.37260899363387,envelope,6h,p01,p01_H_9_10,real
0.83777737138481,envelope,6h,p01,p01_H_10_11,real
9.0295413037719,envelope,6h,p01,p01_H_11_12,real
22.06137811812202,envelope,6h,p01,p01_H_12_13,real
4.6609014135977604,envelope,6h,p01,p01_H_13_14,real
25.344881928502698,envelope,6h,p01,p01_OF_6_7,real
-7.27358898228735,envelope,6h,p01,p01_T_1_2,real
22.30644804365623,envelope,6h,p01,p01_T_2_3,real
22.23457104900054,envelope,6h,p01,p01_T_3_4,real
26.570924132090113,envelope,6h,p01,p01_T_4_5,real
25.731316646138907,envelope,6h,p01,p01_T_5_6,real
20.15115253762479,envelope,6h,p01,p01_T_6_7,real
32.02246950120163,envelope,6h,p01,p01_T_7_8,real
0.57597358564297,envelope,6h,p01,p01_TB_3_4,real
-4.72571442382184,envelope,6h,p01,p01_TB_4_5,real
-2.65494265352435,envelope,6h,p01,p01_TB_5_6,real
0.54177848420321,envelope,6h,p01,p01_TB_11_12,real
8.69380239953555,envelope,9l,p01,p01_A_3_4,real
6.58161851428862,envelope,9l,p01,p01_A_4_5,real
-2.4828368765199698,envelope,9l,p01,p01_A_9_10,real
1.76892054846742,envelope,9l,p01,p01_A_10_11,real
-9.93757767232016,envelope,9l,p01,p01_B_1_2,real
-6.06839879738819,envelope,9l,p01,p01_B_2_3,real
-5.52019227793257,envelope,9l,p01,p01_B_3_4,real
4.91727989689068,envelope,9l,p01,p01_B_4_5,real
-2.0091112516557303,envelope,9l,p01,p01_B_5_6,real
-2.46406378727723,envelope,9l,p01,p01_GPH_7_8,real
0.42350005489019,envelope,9l,p01,p01_H_2_3,real
9.61074132194423,envelope,9l,p01,p01_H_8_9,real
15.580849692084861,envelope,9l,p01,p01_H_9_10,real
10.8395659429509,envelope,9l,p01,p01_H_10_11,real
3.88177136513375,envelope,9l,p01,p01_H_11_12,real
-4.619117613104249,envelope,9l,p01,p01_H_12_13,real
8.84268592518558,envelope,9l,p01,p01_H_13_14,real
14.159763377738019,envelope,9l,p01,p01_OF_6_7,real
-5.49596074082939,envelope,9l,p01,p01_T_1_2,real
-0.7145809740276801,envelope,9l,p01,p01_T_2_3,real
4.350643008666459,envelope,9l,p01,p01_T_3_4,real
15.626722721070848,envelope,9l,p01,p01_T_4_5,real
12.037213366514669,envelope,9l,p01,p01_T_5_6,real
17.08551365618407,envelope,9l,p01,p01_T_6_7,real
10.20722340835556,envelope,9l,p01,p01_T_7_8,real
-5.714400895006571,envelope,9l,p01,p01_TB_3_4,real
-4.8874931862434705,envelope,9l,p01,p01_TB_4_5,real
-9.6999340176061,envelope,9l,p01,p01_TB_5_6,real
4.6754964754657795,envelope,9l,p01,p01_TB_11_12,real
3.23533738195452,envelope,9m,p01,p01_A_3_4,real
-1.30014135696986,envelope,9m,p01,p01_A_4_5,real
5.29348754474893,envelope,9m,p01,p01_A_9_10,real
2.38836750576054,envelope,9m,p01,p01_A_10_11,real
0.94626755891862,envelope,9m,p01,p01_B_1_2,real
-2.17670227376708,envelope,9m,p01,p01_B_2_3,real
1.06492734015924,envelope,9m,p01,p01_B_3_4,real
6.495685998507559,envelope,9m,p01,p01_B_4_5,real
1.80471193888538,envelope,9m,p01,p01_B_5_6,real
5.08694950393108,envelope,9m,p01,p01_GPH_7_8,real
10.47408737035299,envelope,9m,p01,p01_H_2_3,real
10.99142159798928,envelope,9m,p01,p01_H_8_9,real
11.38539769355483,envelope,9m,p01,p01_H_9_10,real
5.1054482484343895,envelope,9m,p01,p01_H_10_11,real
8.275250690536751,envelope,9m,p01,p01_H_11_12,real
8.37054663286429,envelope,9m,p01,p01_H_12_13,real
